,baseline,λ=2,λ=5,λ=10,nunique,real_std,baseline_ratio,λ=2_ratio,λ=5_ratio,λ=10_ratio
time_in_hospital,0.5025008174079711,0.5316437228705113,0.5942620215344719,1.3364694740402505,14,2.8998786622968673,1.0,1.0579957374255962,1.1826090643987979,2.6596364179746113
number_diagnoses,0.4854810304977734,0.13664772535092176,0.9605271435819381,1.7661521506285585,14,1.7827775446046055,1.0,0.28146872229140263,1.9785060244209551,3.6379426582696492
payer_code,0.8389875415750606,0.17889638649303793,1.7681498957100175,4.044714865550482,16,3.2719910873915743,1.0,0.21322889510038434,2.1074805144193296,4.820947469562179
admission_source_id,0.1886835221827612,0.5370750324144541,1.6232878967247306,1.815538249055753,16,3.3817576863305794,1.0,2.8464331500778144,8.603230838315568,9.62213460959882
number_inpatient,0.5076004848074867,0.12901725012683926,0.7775882518744011,0.5760915496927672,20,1.3212560072026158,1.0,0.2541708567827128,1.5318902860569772,1.1349310470246232
discharge_disposition_id,0.5624610744686849,0.3092250408703984,2.0344161452167544,2.3195412368228197,24,4.239019143064861,1.0,0.5497714506954998,3.616990112850949,4.123914244223776
number_emergency,0.22117109194430565,0.08913467500986742,1.1379767743390292,0.7982006877501572,32,1.1382498016258529,1.0,0.40301232058081504,5.145232879826762,3.608973852474159
number_outpatient,0.28993353627600266,0.13997728169569942,0.7588762049720961,0.8469772816956994,39,1.4504575785715892,1.0,0.4827909302718532,2.6174143726846513,2.9212808306846507
num_medications,0.5240189413157454,0.8845554991825922,1.2555421951632002,2.260705169400756,75,7.9874078635182135,1.0,1.6880219958492053,2.3959862825009575,4.314166895808023
num_lab_procedures,2.6753899881616774,1.6766939511810142,6.147556513895936,6.494705113027792,114,20.17232357800275,1.0,0.6267101090309116,2.2978169691515014,2.4275732292361814
diag_1,46.5194773098822,8.508968262021533,36.688963639438526,70.65791087434467,656,148.6526101020067,1.0,0.18291194901740568,0.7886796189699371,1.5188887528479325
diag_2,47.287231523761214,12.298574045887591,33.681397091155084,63.53325942837815,695,145.00259000612533,1.0,0.2600823446326673,0.71227255235339,1.3435605634145344
diag_3,66.9376065167146,46.60797136253452,59.659601330401934,78.00844016009921,730,166.25253216299976,1.0,0.6962897807064004,0.8912718042212143,1.1653903421333147
